iter	RMSE
0	0.7797629419
1	0.7491167667
2	0.7232674522
3	0.7008793938
4	0.6821623131
5	0.6666085044
6	0.6528593128
7	0.6413246282
8	0.6323125317
9	0.6241084585
10	0.6171360805
11	0.6113448504
12	0.606704687
13	0.6023720789
14	0.5992771333
15	0.5963497814
16	0.5933699978
17	0.5906901295
18	0.5886492491
19	0.5867476176
20	0.5852633956
21	0.5837295829
22	0.5825684082
23	0.5815141781
24	0.5803410077
25	0.5794149928
26	0.5786574828
27	0.5779143254
28	0.5770500426
29	0.5759981018
30	0.5750324788
31	0.5740767081
32	0.5734129586
33	0.5727795726
34	0.5722224036
35	0.5713277727
36	0.5709221717
37	0.5702793597
38	0.5697707146
39	0.5693435014
40	0.568878543
41	0.5681300705
42	0.5674473469
43	0.5669685885
44	0.5665371266
45	0.565805477
46	0.5653052096
47	0.5649770574
48	0.5642912181
49	0.5635799594
50	0.5631313514
51	0.5628790471
52	0.5624387209
53	0.5620177722
54	0.5616561961
55	0.5612229571
56	0.5606708986
57	0.5601481454
58	0.5598040314
59	0.5596191411
60	0.5590964222
61	0.558725912
62	0.5582313397
63	0.5579931283
64	0.5575058416
65	0.5570291549
66	0.5567521775
67	0.5564963281
68	0.5561886712
69	0.555767741
70	0.5552177332
71	0.5546338492
72	0.5541247762
73	0.553838293
74	0.5533654925
75	0.5529737368
76	0.5526668891
77	0.552395186
78	0.5519128181
79	0.5516761156
80	0.5514326891
81	0.5509626651
82	0.5503522087
83	0.5498798444
84	0.5495473939
85	0.5492816437
86	0.5489479751
87	0.5486413428
88	0.5484684888
89	0.5480211839
90	0.5476914151
91	0.5473658905
92	0.5471180335
93	0.5467444469
94	0.5463076188
95	0.5459296534
96	0.5456049139
97	0.5451727157
98	0.5449551565
99	0.5446601975
100	0.544307445
101	0.5440649488
102	0.5437588905
103	0.5435124592
104	0.5431002225
105	0.5427698426
106	0.5421133341
107	0.5416741355
108	0.5413785909
109	0.5410736753
110	0.5408419621
111	0.5405463064
112	0.5401185739
113	0.5395621072
114	0.5392644882
115	0.5386961978
116	0.5383513624
117	0.5379424082
118	0.5375914603
119	0.5372350963
120	0.5368608935
121	0.5365025281
122	0.5362127922
123	0.5356747317
124	0.5352434662
125	0.534816748
126	0.5344814482
127	0.5340929269
128	0.5337346142
129	0.5333148743
130	0.5330851511
131	0.5326702222
132	0.5322977557
133	0.5318768382
134	0.5315394498
135	0.5312966246
136	0.5310651701
137	0.5306994768
138	0.5303831426
139	0.5301483256
140	0.5296992655
141	0.5294005978
142	0.5290415743
143	0.5288102881
144	0.5284549672
145	0.5281936353
146	0.527819482
147	0.5274766845
148	0.5270841622
149	0.5268586914
150	0.5267189953
151	0.5264210597
152	0.5259719855
153	0.5257123567
154	0.5253475275
155	0.5250478741
156	0.5246754269
157	0.5242531342
158	0.5239587767
159	0.5235618431
160	0.5233913163
161	0.5231041072
162	0.5228848169
163	0.5226807935
164	0.5224997712
165	0.5220893864
166	0.521843501
167	0.5216073055
168	0.521307918
169	0.5208773587
170	0.5207572502
171	0.5205021848
172	0.5203132872
173	0.520085909
174	0.5198703195
175	0.5196515162
176	0.5194476658
177	0.5192235019
178	0.5188364036
179	0.5185301989
180	0.5182517639
181	0.5179308658
182	0.5176972449
183	0.5174343616
184	0.5169319765
185	0.5166030577
186	0.5164179356
187	0.5161962797
188	0.5158860171
189	0.5155100483
190	0.5152837726
191	0.5150142077
192	0.514743165
193	0.5143519542
194	0.5141989416
195	0.5140020907
196	0.5138585879
197	0.5135475862
198	0.5131747961
199	0.5130320495
200	0.5128212497
201	0.5123978647
202	0.5120889113
203	0.5119319327
204	0.5117513257
205	0.5114075392
206	0.5111964985
207	0.5108134621
208	0.5106808927
209	0.5104390605
210	0.5101743238
211	0.5098647696
212	0.5097436134
213	0.5094622667
214	0.5093043412
215	0.508867529
216	0.5085519759
217	0.5083586937
218	0.5079167104
219	0.5076626577
220	0.5074707429
221	0.5072237391
222	0.5070854048
223	0.5069758646
224	0.5067566233
225	0.506615695
226	0.506475453
227	0.5063163312
228	0.5060671272
229	0.5057926726
230	0.5055964344
231	0.5053640914
232	0.5052601679
233	0.5048492735
234	0.5047040863
235	0.504485424
236	0.504229523
237	0.5038959036
238	0.5035556451
239	0.5034065385
240	0.5031975384
241	0.5029628977
242	0.5027760073
243	0.502393485
244	0.5022856337
245	0.5021327163
246	0.5018717916
247	0.5017869601
248	0.5014531507
249	0.5010981554
250	0.5009138925
251	0.5006093505
252	0.500303445
253	0.500039461
254	0.4998592971
255	0.4996385054
256	0.4993690833
257	0.4991793606
258	0.498916364
259	0.4987072019
260	0.4983709531
261	0.4981067382
262	0.4979226779
263	0.4977467453
264	0.4974568245
265	0.4972405612
266	0.4969718395
267	0.4967856683
268	0.4966802879
269	0.4963922808
270	0.4960932424
271	0.4959692487
272	0.4957581002
273	0.4955299952
274	0.4951610877
275	0.4949481105
276	0.4946882586
277	0.4945513649
278	0.494300619
279	0.49398654
280	0.4938003924
