iter	Passed	Remaining
0	59	59480
1	75	37425
2	86	28732
3	96	24023
4	107	21349
5	116	19277
6	120	17134
7	122	15216
8	124	13736
9	126	12535
10	128	11561
11	130	10745
12	132	10078
13	134	9491
14	136	8987
15	138	8540
16	140	8139
17	142	7789
18	144	7468
19	146	7189
20	148	6925
21	150	6702
22	152	6486
23	154	6285
24	156	6100
25	158	5939
26	160	5779
27	162	5637
28	164	5500
29	166	5369
30	168	5257
31	170	5151
32	172	5046
33	174	4947
34	176	4863
35	178	4774
36	180	4686
37	181	4604
38	183	4528
39	185	4455
40	187	4384
41	189	4317
42	191	4250
43	192	4189
44	194	4130
45	196	4072
46	198	4018
47	199	3964
48	201	3915
49	203	3865
50	205	3819
51	207	3785
52	210	3760
53	212	3720
54	214	3680
55	216	3641
56	217	3603
57	219	3565
58	221	3528
59	223	3507
60	225	3473
61	227	3442
62	229	3408
63	231	3379
64	233	3352
65	234	3322
66	236	3297
67	238	3269
68	240	3245
69	242	3220
70	244	3197
71	246	3174
72	248	3160
73	250	3137
74	252	3115
75	256	3117
76	260	3116
77	262	3097
78	263	3075
79	265	3055
80	267	3036
81	269	3022
82	273	3025
83	277	3023
84	280	3020
85	283	3016
86	287	3012
87	289	2995
88	291	2978
89	292	2960
90	294	2943
91	296	2926
92	298	2910
93	300	2900
94	302	2885
95	304	2869
96	306	2855
97	308	2840
98	310	2824
99	312	2809
100	314	2796
101	316	2786
102	319	2785
103	321	2771
104	323	2758
105	325	2744
106	327	2731
107	329	2719
108	331	2707
109	333	2695
110	336	2692
111	338	2681
112	340	2671
113	343	2665
114	345	2655
115	347	2644
116	349	2636
117	351	2630
118	354	2621
119	355	2610
120	357	2599
121	359	2589
122	361	2579
123	363	2571
124	365	2561
125	367	2551
126	369	2541
127	371	2533
128	373	2523
129	375	2515
130	378	2510
131	380	2502
132	382	2493
133	385	2494
134	387	2484
135	389	2474
136	391	2465
137	393	2456
138	395	2448
139	397	2439
140	398	2430
141	400	2422
142	402	2413
143	404	2405
144	406	2397
145	408	2388
146	410	2379
147	411	2370
148	414	2365
149	415	2357
150	417	2348
151	419	2341
152	421	2333
153	423	2325
154	425	2318
155	427	2311
156	429	2305
157	431	2298
158	433	2290
159	434	2282
160	436	2276
161	438	2269
162	440	2262
163	443	2259
164	444	2251
165	446	2244
166	448	2237
167	450	2230
168	452	2223
169	454	2217
170	456	2210
171	457	2204
172	459	2196
173	461	2190
174	463	2184
175	465	2179
176	467	2173
177	469	2167
178	473	2170
179	476	2169
180	478	2163
181	479	2156
182	481	2150
183	483	2144
184	485	2138
185	487	2132
186	489	2126
187	490	2120
188	493	2117
189	495	2111
190	498	2111
191	500	2106
192	502	2100
193	504	2094
194	506	2089
195	508	2086
196	510	2081
197	512	2076
198	514	2071
199	516	2065
200	518	2062
201	520	2057
202	522	2052
203	524	2046
204	526	2041
205	527	2034
206	530	2031
207	532	2025
208	533	2020
209	535	2014
210	537	2009
211	539	2004
212	541	1999
213	543	1994
214	545	1993
215	547	1988
216	549	1983
217	551	1978
218	553	1973
219	555	1968
220	557	1965
221	559	1961
222	561	1956
223	563	1951
224	565	1946
225	566	1941
226	569	1939
227	571	1934
228	572	1929
229	575	1925
230	576	1920
231	578	1915
232	580	1912
233	582	1907
234	584	1902
235	586	1898
236	588	1895
237	590	1891
238	593	1888
239	594	1883
240	596	1879
241	598	1875
242	600	1871
243	602	1867
244	604	1862
245	606	1857
246	607	1853
247	609	1849
248	611	1845
249	613	1841
250	615	1836
251	617	1832
